source,target
5354557,5430367
5354557,5418103
5354557,5789809
5354557,5404163
5354557,5398535
5354557,5530663
5354557,5530664
5354557,5567725
5354557,5433065
5354557,5485190
5354557,5955746
5354557,5955747
5354557,5492551
5354557,5557022
5354557,5512452
5354557,5384968
5354557,5425421
5354557,5697329
5354557,6035382
5354557,5356961
5354572,5441360
5354572,5502278
5354572,5460037
5354572,5425770
5354572,5434879
5354823,5406837
5354823,5428236
5354823,5410828
5354823,5376034
5354823,5363864
5354823,5375143
5354823,5363887
5354823,5376342
5354823,5379423
5354823,5361989
5354823,5376355
5354823,5393773
5354823,5390610
5354823,5377293
5354823,5373240
5354823,5413352
5354823,5354931
5354823,5402019
5354823,5363293
5354823,5358194
5354823,5355024
5354823,5492276
5354823,5433040
5354823,5387988
5354823,5368701
5354823,5362461
5354823,5359408
5354823,5376829
5354823,5368783
5354823,5363693
5354823,5363695
5354892,5355634
5354892,5678278
5354892,5536960
5354892,5700855
5354892,5459205
5354892,5466580
5354892,5374424
5354892,5660273
5354892,5425770
5354892,5377548
5354892,5421769
5354892,5357293
5354892,5367461
5354892,5443547
5354892,5356531
5354892,5391293
5354895,5375043
5354895,5454456
5354895,5410871
5354895,5368381
5354895,5362389
5354895,5411977
5354895,5371532
5354895,5379238
5354895,5375819
5354895,5406073
5354895,5374422
5354895,5374424
5354895,5556163
5354895,5356531
5354895,5367184
5354895,5489538
5354895,5390774
5354895,5370799
5354931,5426265
5354931,5363293
5354931,5355633
5354931,5406837
5354931,5357180
5354931,5355024
5354931,5381688
5354931,5376034
5354931,5433040
5354931,5387988
5354931,5536478
5354931,5423763
5354931,5375143
5354931,5363887
5354931,5376342
5354931,5379423
5354931,5361989
5354931,5392710
5354931,5375819
5354931,5373795
5354931,5363482
5354931,5362461
5354931,5377293
5354931,5359408
5354931,5373240
5354931,5376829
5354931,5366771
5354931,5413352
5354931,5363693
5354931,5363695
5354931,5355920
5354931,5384116
5354931,5402019
5354984,5377053
5354984,5436597
5354984,5419853
5354984,5358343
5355024,5426265
5355024,5406837
5355024,5376034
5355024,5375143
5355024,5363887
5355024,5376342
5355024,5379423
5355024,5361989
5355024,5392710
5355024,5390610
5355024,5377293
5355024,5373240
5355024,5413352
5355024,5359006
5355024,5412272
5355024,5395901
5355024,5402019
5355024,5363293
5355024,5381688
5355024,5362220
5355024,5433040
5355024,5387988
5355024,5373645
5355024,5356276
5355024,5375819
5355024,5373795
5355024,5359408
5355024,5376829
5355024,5366771
5355024,5363693
5355024,5363695
5355024,5371793
5355024,5384116
5355238,5413747
5355238,5367150
5355238,5393418
5355238,5379639
5355238,5356251
5355238,5376193
5355238,5384952
5355238,5357293
5355238,5386991
5355238,5365908
5355238,5391291
5355238,5391295
5355238,5391293
5355238,5437862
5355238,5361317
5355238,5421479
5355238,5388459
5355254,5398644
5355254,5428242
5355254,5428243
5355254,5428246
5355254,5360662
5355254,5428251
5355254,5428226
5355254,5428224
5355254,5428231
5355254,5428228
5355254,5428236
5355254,5428237
5355254,5428264
5355254,5376193
5355254,5358751
5355254,5379254
5355254,5358752
5355254,5482768
5355254,5362944
5355254,5358999
5355254,5398937
5355254,5391774
5355254,5381696
5355254,5409389
5355254,5416489
5355254,5395187
5355254,5376740
5355254,5358378
5355254,5428214
5355254,5428217
5355254,5371815
5355397,5362777
5355397,5426265
5355397,5375043
5355397,5396584
5355397,5361683
5355397,5426699
5355397,5430799
5355397,5418032
5355397,5379639
5355397,5362750
5355397,5373645
5355397,5440717
5355397,5357292
5355397,5365908
5355397,5370006
5355397,5368969
5355397,5423241
5355397,5375143
5355397,5387604
5355397,5413747
5355397,5375356
5355397,5380971
5355397,5399312
5355397,5363482
5355397,5378504
5355397,5520357
5355397,5359006
5355418,5461706
5355418,5398770
5355418,5362836
5355633,5369939
5355633,5362777
5355633,5375043
5355633,5358194
5355633,5355634
5355633,5383291
5355633,5360662
5355633,5370395
5355633,5415424
5355633,5428237
5355633,5403697
5355633,5366003
5355633,5373180
5355633,5368969
5355633,5567627
5355633,5411007
5355633,5376342
5355633,5396823
5355633,5422933
5355633,5645149
5355633,5375819
5355633,5418315
5355633,5400908
5355633,5361533
5355633,5373795
5355633,5399312
5355633,5371669
5355633,5363482
5355633,5365030
5355633,5356531
5355633,5397502
5355633,5361124
5355633,5387758
5355633,5389805
5355633,5358999
5355633,5413768
5355633,5734819
5355634,5529671
5355634,5460037
5355634,5401711
5355634,5671960
5355634,5393418
5355634,5403847
5355634,5832931
5355634,5369998
5355634,5370233
5355634,5459205
5355634,5374422
5355634,5466580
5355634,5374428
5355634,5415320
5355634,5379639
5355634,5362389
5355634,5368551
5355634,5389962
5355634,5367461
5355634,5413747
5355634,5439340
5355634,5363482
5355634,5402420
5355634,5416917
5355634,5382081
