score,name
96.52941176,Victor C. M. Leung
77.35294118,Wil M. P. van der Aalst
49.82352941,Michael I. Jordan
42.58823529,Michael Wooldridge
41.64705882,Paul Thompson
40.82352941,Manuela M. Veloso
39.05882353,Michael Stonebraker
34.94117647,Michael Beetz
34.88235294,Catholijn M. Jonker
33.82352941,Michael J. Carey
28.94117647,Michael J. Franklin
28.35294118,Michael Luck
26.29411765,Joseph M. Hellerstein
26.0,Michael P. Wellman
25.76470588,Michael L. Littman
22.35294118,Michael Zakharyaschev
21.82352941,Arnold W. M. Smeulders
21.52941176,Terry M. Peters
21.35294118,Arthur W. Toga
19.17647059,Rosa M. Badia
18.94117647,Peter M. A. Sloot
18.82352941,Tom M. Mitchell
18.47058824,Michael M. Bronstein
17.52941176,Michael Thielscher
17.47058824,Alexander M. Bronstein
17.23529412,M. Brian Blake
16.23529412,Michael Kifer
15.94117647,Horst Bischof
15.82352941,Michael H. Bowling
15.35294118,Michael Winikoff
15.17647059,Michael Felsberg
14.58823529,Michael J. Pazzani
14.29411765,Arthur H. M. ter Hofstede
13.88235294,Joel Saltz
13.05882353,Benoit M. Dawant
12.82352941,Nicholas R. Jennings
12.76470588,Moncef Gabbouj
12.35294118,Frank Wolter
12.23529412,Michael Fink
11.94117647,Michael E. Papka
11.70588235,Max A Viergever
11.29411765,Thomas S. Huang
11.29411765,M. Satyanarayanan
10.76470588,Ian Foster
10.58823529,Thomas Eiter
10.58823529,K. Sycara
10.52941176,Peter Stone
10.41176471,Stephen M Smith
10.17647059,Luca Benini
10.17647059,Laura M. Haas
10.11764706,Francisco M. Couto
9.882352941,Latifur Khan
9.764705882,Norman M. Sadeh
9.705882353,Geert-Jan M. Kruijff
9.588235294,Michael Strube
9.470588235,Daniel Rueckert
9.470588235,Wiro J. Niessen
9.470588235,Simon K. Warfield
9.352941176,Michael Kaminsky
9.294117647,Alejandro F. Frangi
9.176470588,J. Kittler
9.058823529,Nassir Navab
9.0,Gerhard Weikum
8.882352941,Samuel Madden
8.764705882,Janet M. Thornton
8.647058824,Michael Isard
8.470588235,Luc Van Gool
8.176470588,Neda Jahanshad
8.117647059,Miron Livny
8.117647059,Sébastien Ourselin
8.117647059,Greig I. De Zubicaray
8.0,Margaret J. Wright
7.882352941,Norman W. Paton
7.882352941,John Dolan
7.764705882,David Haussler
7.764705882,Wolfram Burgard
7.647058824,David Maier
7.470588235,Hausi A. Müller
7.470588235,John J. Leonard
7.470588235,David Andersen
7.235294118,Munindar P. Singh
7.176470588,Bram van Ginneken
7.176470588,P L Miller
7.176470588,Jonathan Gratch
7.117647059,david j dewitt
7.117647059,Jack Dongarra
6.882352941,A. Zisserman
6.823529412,Michael Arens
6.823529412,Simon Miles
6.764705882,Michael T. Cox
6.647058824,Ioannis Kompatsiaris
6.647058824,Christopher M. Bishop
6.588235294,Marcello La Rosa
6.470588235,gregory provan
6.352941176,Boudewijn F. van Dongen
6.352941176,Anders M. Dale
6.294117647,Erik M. Van Mulligen
6.294117647,Joseph M. Reinhardt
6.235294118,J. Michael Cherry
6.235294118,Holger M. Kienle
6.176470588,Frank Dignum
6.117647059,Peter J. Stuckey
6.058823529,Mark A. Neerincx
5.941176471,Christos Faloutsos
5.941176471,G M Shepherd
5.941176471,Nicholas Ayache
5.882352941,Sebastian Thrun
5.823529412,Schahram Dustdar
5.823529412,Geoff V. Merrett
5.823529412,Mark A. Musen
5.647058824,Gregory R. Ganger
5.529411765,Roland Siegwart
5.470588235,Michael zur Muehlen
5.352941176,Andrew McCallum
5.352941176,Katie L. Mcmahon
5.352941176,Mateo Valero
5.294117647,Phillip B. Gibbons
5.294117647,Julia A Schnabel
5.235294118,Klaus-Robert Müller
5.235294118,Anant Madabhushi
5.235294118,Alberto L. Sangiovanni-Vincentelli
5.176470588,Steven J. M. Jones
5.117647059,José E. Moreira
5.117647059,Stephanie Seneff
5.117647059,Gareth J. F. Jones
5.058823529,Herbert M Sauro
5.0,Martial Hebert
5.0,C. Lee Giles
5.0,Khan M. Iftekharuddin
5.0,Abdul Sattar
4.941176471,Jan Mendling
4.882352941,Stefan Woltran
4.882352941,Marleen de Bruijne
4.882352941,Nikil D. Dutt
4.882352941,Thomas E. Nichols
4.823529412,Tim Kraska
4.823529412,Wolfgang E. Nagel
4.823529412,Bo Xing
4.823529412,Joachim Hornegger
4.823529412,hermann ney
4.764705882,Francky Catthoor
4.764705882,Edmund H. Durfee
4.647058824,Daniel S. Katz
4.647058824,M. Bernardine Dias
4.588235294,Daniel M. Reeves
4.588235294,Philip H.  S. Torr
4.529411765,Marilyn A Walker
4.470588235,Christos Davatzikos
4.470588235,E Birney
4.470588235,Barbara M. Smith
4.470588235,Derek L G Hill
4.411764706,Andrew Blake
4.411764706,Peer Bork
